Accident_Index,Age_Band_of_Driver,Age_of_Vehicle,Driver_Home_Area_Type,Driver_IMD_Decile,Engine_Capacity_.CC.,Hit_Object_in_Carriageway,Hit_Object_off_Carriageway,Journey_Purpose_of_Driver,Junction_Location,make,model,Propulsion_Code,Sex_of_Driver,Skidding_and_Overturning,Towing_and_Articulation,Vehicle_Leaving_Carriageway,Vehicle_Location.Restricted_Lane,Vehicle_Manoeuvre,Vehicle_Reference,Vehicle_Type,Was_Vehicle_Left_Hand_Drive,X1st_Point_of_Impact,Year
200401CP00301,Data missing or out of range,2,Urban area,NA,3200,None,None,Data missing or out of range,Data missing or out of range,MITSUBISHI,SHOGUN EQUIPPE DI-D A LWB,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0,Waiting to go - held up,2,109,Data missing or out of range,Nearside,2004
200401CP00302,46 - 55,7,Urban area,9,2664,None,None,Data missing or out of range,Data missing or out of range,LONDON TAXIS INT,TX1 BRONZE AUTO,Heavy oil,Male,Skidded,No tow/articulation,Did not leave carriageway,0,Going ahead other,1,108,Data missing or out of range,Front,2004
200401CP00304,46 - 55,1,Urban area,3,7300,None,None,Data missing or out of range,Data missing or out of range,VOLVO,,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,1,Bus or coach (17 or more pass seats),Data missing or out of range,Did not impact,2004
200401CP00305,46 - 55,2,Urban area,7,2402,None,None,Data missing or out of range,Data missing or out of range,LONDON TAXIS INT,TXII SILVER AUTO,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,2,108,Data missing or out of range,Front,2004
200401CP00306,56 - 65,1,Urban area,3,124,None,None,Data missing or out of range,Data missing or out of range,PIAGGIO,ZIP 125,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,1,Motorcycle 125cc and under,Data missing or out of range,Did not impact,2004
200401CP00307,26 - 35,3,Urban area,1,2151,None,None,Data missing or out of range,Data missing or out of range,MERCEDES,E220 CDI ELEGANCE AUTO,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0,Waiting to go - held up,2,109,Data missing or out of range,Back,2004
200401CP00308,26 - 35,NA,Urban area,4,NA,None,None,Data missing or out of range,Data missing or out of range,PIAGGIO,ET2,NA,Female,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,1,Motorcycle 50cc and under,Data missing or out of range,Front,2004
200401CP00309,26 - 35,7,Urban area,1,1799,None,None,Data missing or out of range,Data missing or out of range,VAUXHALL,VECTRA LS 16V AUTO,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,2,109,Data missing or out of range,Offside,2004
200401CP00311,36 - 45,2,Urban area,4,7300,None,None,Data missing or out of range,Data missing or out of range,VOLVO,,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0,Turning right,1,Bus or coach (17 or more pass seats),Data missing or out of range,Offside,2004
200401CP00313,26 - 35,6,Urban area,10,608,None,None,Data missing or out of range,Data missing or out of range,KTM,,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,1,106,Data missing or out of range,Front,2004
200401CP00314,Data missing or out of range,1,Urban area,4,7300,None,None,Data missing or out of range,Data missing or out of range,VOLVO,,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0,Overtaking moving vehicle - offside,2,Bus or coach (17 or more pass seats),Data missing or out of range,Nearside,2004
200401CP00316,36 - 45,NA,Urban area,7,NA,None,None,Data missing or out of range,Data missing or out of range,HONDA,SCV100F-E,NA,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,1,Motorcycle 125cc and under,Data missing or out of range,Front,2004
200401CP00316,26 - 35,2,Urban area,3,1997,None,None,Data missing or out of range,Data missing or out of range,CITROEN,BERLINGO MULTISPACE FORTE H,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0,Parked,2,109,Data missing or out of range,Back,2004
200401CP00318,26 - 35,7,Urban area,2,1753,None,None,Data missing or out of range,Data missing or out of range,FORD,MONDEO GHIA TD,Heavy oil,Female,None,No tow/articulation,Did not leave carriageway,0,Turning right,2,109,Data missing or out of range,Nearside,2004
200401CP00319,26 - 35,11,Urban area,2,9600,None,None,Data missing or out of range,Data missing or out of range,VOLVO,,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,2,Moving off,1,Bus or coach (17 or more pass seats),Data missing or out of range,Did not impact,2004
200401CW10004,36 - 45,2,Urban area,2,2461,None,None,Data missing or out of range,Data missing or out of range,VOLKSWAGEN,LT 35 TDI LWB,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0,Moving off,2,Van / Goods 3.5 tonnes mgw or under,Data missing or out of range,Nearside,2004
200401CW10006,56 - 65,6,Urban area,2,2664,None,None,Data missing or out of range,Data missing or out of range,LONDON TAXIS INT,TX1 BRONZE AUTO,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0,Changing lane to right,2,108,Data missing or out of range,Offside,2004
200401CW10007,26 - 35,NA,Urban area,NA,11980,None,None,Data missing or out of range,Data missing or out of range,NEOPLAN,,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0,Slowing or stopping,1,Bus or coach (17 or more pass seats),Data missing or out of range,Nearside,2004
200401CW10010,36 - 45,4,Urban area,9,9600,None,None,Data missing or out of range,Data missing or out of range,VOLVO,,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,1,Bus or coach (17 or more pass seats),Data missing or out of range,Front,2004
200401CW10011,46 - 55,2,Small town,10,652,None,None,Data missing or out of range,Data missing or out of range,BMW,F650 CS,Petrol,Female,None,No tow/articulation,Did not leave carriageway,0,Turning left,1,106,Data missing or out of range,Offside,2004
200401CW10016,26 - 35,1,Urban area,3,7300,None,None,Data missing or out of range,Data missing or out of range,VOLVO,,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0,Slowing or stopping,1,Bus or coach (17 or more pass seats),Data missing or out of range,Did not impact,2004
200401CW10018,26 - 35,10,Urban area,2,1390,None,None,Data missing or out of range,Data missing or out of range,RENAULT,5 CAMPUS PRIMA,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,Changing lane to right,1,109,Data missing or out of range,Back,2004
200401CW10018,36 - 45,6,Urban area,8,599,None,None,Data missing or out of range,Data missing or out of range,HONDA,CB600 HORNET,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,2,106,Data missing or out of range,Nearside,2004
200401CW10019,36 - 45,5,Urban area,3,1289,None,None,Data missing or out of range,Data missing or out of range,SKODA,FELICIA MAGIC,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,2,109,Data missing or out of range,Front,2004
200401CW10020,56 - 65,3,Data missing or out of range,NA,7300,None,None,Data missing or out of range,Data missing or out of range,VOLVO,,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0,Slowing or stopping,1,Bus or coach (17 or more pass seats),Data missing or out of range,Did not impact,2004
200401CW10027,36 - 45,5,Urban area,6,1781,None,None,Data missing or out of range,Data missing or out of range,AUDI,A3 SPORT,Petrol,Female,None,No tow/articulation,Did not leave carriageway,0,Turning right,1,109,Data missing or out of range,Front,2004
